,feature,mse,r2
0,None,0.5500395657120956,0.5652519622734431
1,HOMO (eV),0.4509285335175566,0.6435887392066555
2,# H,0.4366515330613561,0.654873196398237
3,LUMO (eV),0.39886081348073327,0.684742758891765
4,# O,0.38276486422663086,0.6974649025152111
5,# B,0.3868008090762845,0.6942749154431211
6,No. of Aromatic Rings,0.3989690785612233,0.6846571868088978
7,HOMO-LUMO gap,0.21814988119985732,0.8275756169301443
8,# Li,0.4286545914135044,0.6611939320433471
9,# C,0.8243784790460141,0.34841609867597767
