,RP (V) - DFT
0,1.4
1,2.9
2,3.1
3,3.7
4,3.6
5,2.8
6,3.1
7,3.2
8,1.4
9,1.4
10,1.4
11,1.2
12,1.4
13,1.3
14,1.4
15,0.9
16,3.0
17,3.3
18,2.9
19,2.8
20,3.1
21,3.1
22,3.4
23,3.0
24,3.2
25,3.4
26,3.0
27,3.1
28,3.0
29,3.0
30,3.1
31,3.2
32,2.5
33,3.1
34,3.0
35,3.0
36,3.1
37,2.4
38,2.9
39,3.1
40,2.6
41,3.1
42,2.9
43,2.6
44,2.5
45,0.9
46,0.8
47,1.1
48,2.2
49,1.9
50,2.1
51,5.42
52,5.3
53,5.28
54,2.61
55,2.92
56,3.57
57,3.06
58,-0.39
59,0.42
60,0.46
61,0.38
62,1.45
63,3.0
64,3.28
65,2.95
66,3.07
67,2.79
68,3.13
69,0.5
70,1.82
71,0.4
72,1.93
73,3.33
74,3.1
75,1.12
76,3.81
77,4.35
78,1.37
79,3.13
80,3.16
81,3.14
82,3.18
83,3.25
84,2.7
85,2.9
86,2.6
87,2.4
88,1.9
89,0.5525568168
90,1.8758195838
91,1.6765601022
92,1.4308468586
93,1.5978146751
94,1.3593597253
95,1.7928510355
96,-1.6281682505000001
97,-1.145962373
98,0.7058299921
99,-1.7419666716
100,0.472940643
101,1.85
102,1.87
103,3.93
104,0.95
105,2.679
106,2.204
107,3.8169999999999997
108,2.204
