HOMO (eV),LUMO (eV),EA (eV),# C,# B,# O,HOMO-LUMO gap,# Li,# H,No. of Aromatic Rings,RP (V) - DFT
-5.38,-2.31,-1.52,54,0,0,3.07,0,18,19,1.4
-5.02,-2.44,-2.97,53,0,1,2.58,0,17,18,2.9
-5.38,-4.04,-3.29,52,0,2,1.34,0,16,17,3.1
-5.51,-4.25,-3.16,51,0,3,1.26,0,15,16,3.7
-5.80,-4.51,-3.75,50,0,4,1.29,0,14,15,3.6
-5.63,-3.81,-3.00,52,0,2,1.82,0,16,17,2.8
-5.28,-4.54,-3.41,51,0,3,0.74,0,15,16,3.1
-5.51,-5.03,-3.47,50,0,4,0.48,0,14,15,3.2
-5.24,-2.31,-1.53,53,0,1,2.93,0,18,19,1.4
-5.19,-2.35,-1.61,52,0,2,2.84,0,18,19,1.4
-5.10,-2.33,-1.55,51,0,3,2.77,0,18,19,1.4
-5.04,-2.30,-1.38,50,0,4,2.74,0,18,19,1.2
-5.11,-2.32,-1.55,52,0,2,2.79,0,18,19,1.4
-5.17,-2.24,-1.51,51,0,3,2.93,0,18,19,1.3
-5.10,-2.32,-1.58,50,0,4,2.78,0,18,19,1.4
-6.50,-1.81,-0.65,20,0,0,4.69,0,10,5,0.9
-6.27,-1.87,-2.67,19,1,0,4.40,0,10,4,3
-6.22,-1.72,-3.03,19,1,0,4.50,0,10,4,3.3
-5.75,-1.78,-2.65,19,1,0,3.97,0,10,4,2.9
-6.08,-3.23,-2.54,19,1,0,2.85,0,10,4,2.8
-6.25,-1.91,-2.79,19,1,0,4.34,0,10,4,3.1
-6.10,-3.99,-2.83,19,1,0,2.11,0,10,4,3.1
-6.30,-1.77,-3.16,19,1,0,4.53,0,10,4,3.4
-6.30,-1.80,-2.78,19,1,0,4.50,0,10,4,3
-6.31,-1.90,-2.95,19,1,0,4.41,0,10,4,3.2
-6.21,-1.66,-3.15,19,1,0,4.55,0,10,4,3.4
-6.35,-3.94,-2.80,19,1,0,2.41,0,10,4,3
-6.32,-1.90,-2.96,19,1,0,4.42,0,10,4,3.1
-6.47,-3.89,-2.74,19,1,0,2.58,0,10,4,3
-6.34,-1.85,-2.79,19,1,0,4.49,0,10,4,3
-6.10,-3.99,-2.85,19,1,0,2.11,0,10,4,3.1
-6.20,-3.80,-2.93,19,1,0,2.40,0,10,4,3.2
-6.67,-3.33,-2.17,19,1,0,3.34,0,10,4,2.5
-5.74,-3.95,-2.90,19,1,0,1.79,0,10,4,3.1
-5.92,-3.90,-2.79,19,1,0,2.02,0,10,4,3
-6.03,-3.86,-2.80,19,1,0,2.17,0,10,4,3
-5.92,-1.84,-2.87,19,1,0,4.08,0,10,4,3.1
-6.39,-3.40,-2.19,19,1,0,2.99,0,10,4,2.4
-6.45,-3.85,-2.67,19,1,0,2.60,0,10,3,2.9
-6.13,-4.21,-2.98,19,1,0,1.92,0,10,3,3.1
-6.07,-3.53,-2.34,19,1,0,2.54,0,10,3,2.6
-5.67,-3.89,-2.82,19,1,0,1.78,0,10,3,3.1
-6.04,-3.85,-2.74,19,1,0,2.19,0,10,3,2.9
-6.01,-3.46,-2.35,19,1,0,2.55,0,10,3,2.6
-6.07,-3.56,-2.41,19,1,0,2.51,0,10,3,2.5
-0.13,-0.06,-0.77,19,1,0,0.07,1,10,4,0.9
-0.13,-0.06,-0.85,19,1,0,0.07,1,10,4,0.8
-0.13,-0.05,-1.51,19,1,0,0.07,1,10,4,1.1
-0.14,-0.06,-2.07,18,2,0,0.08,1,10,3,2.2
-0.14,-0.06,-1.65,18,2,0,0.08,1,10,3,1.9
-0.14,-0.06,-2.07,18,2,0,0.08,1,10,3,2.1
-5.56,-3.68,-5.17,23.00,1,0,1.88,0,12,5,5.42
-5.50,-3.72,-5.08,23.00,1,0,1.78,0,12,5,5.3
-5.62,-3.78,-5.03,23.00,1,0,1.85,0,12,5,5.28
-5.93,-3.35,-2.29,22.00,2,0,2.57,0,12,4,2.61
-5.83,-3.75,-2.68,22.00,2,0,2.07,0,12,4,2.92
-5.34,-4.31,-3.38,22.00,2,0,1.03,0,12,4,3.57
-6.14,-2.84,-2.85,22.00,2,0,3.30,0,12,4,3.06
-6.21,-3.74,0.66,22.00,2,0,2.47,0,12,4,-0.39
-6.13,-3.95,-0.25,22.00,2,0,2.18,0,12,4,0.42
-5.43,-4.48,-0.22,22.00,2,0,0.95,0,12,4,0.46
-5.71,-3.97,-0.17,22.00,2,0,1.75,0,12,4,0.38
-5.99,-4.07,-1.36,22.00,2,0,1.92,0,12,4,1.45
-5.66,-3.81,-2.75,22.00,2,0,1.85,0,12,4,3
-5.61,-4.23,-3.13,22.00,2,0,1.38,0,12,4,3.28
-5.98,-3.89,-2.78,22.00,2,0,2.10,0,12,4,2.95
-6.23,-2.81,-2.90,22.00,2,0,3.42,0,12,4,3.07
-6.04,-3.67,-2.58,22.00,2,0,2.37,0,12,4,2.79
-5.68,-3.98,-2.91,22.00,2,0,1.70,0,12,4,3.13
-5.86,-3.65,-0.20,22.00,2,0,2.21,0,12,4,0.5
-5.22,-4.65,-1.57,22.00,2,0,0.57,0,12,4,1.82
-6.13,-3.82,-0.17,22.00,2,0,2.31,0,12,4,0.4
-6.08,-3.54,-1.62,22.00,2,0,2.53,0,12,4,1.93
-5.60,-4.11,-3.11,22.00,2,0,1.48,0,12,4,3.33
-5.90,-3.98,-2.87,22.00,2,0,1.91,0,12,4,3.1
-5.80,-4.22,-0.89,22.00,2,0,1.58,0,12,4,1.12
-5.07,-4.47,-3.51,22.00,2,0,0.59,0,12,4,3.81
-5.66,-4.20,-4.08,22.00,2,0,1.46,0,12,4,4.35
-5.59,-4.24,-1.08,22.00,2,0,1.35,0,12,4,1.37
-6.04,-2.86,-2.86,22.00,2,0,3.18,0,12,4,3.13
-5.98,-4.01,-2.93,22.00,2,0,1.98,0,12,4,3.16
-5.95,-2.89,-2.93,22.00,2,0,3.06,0,12,4,3.14
-5.76,-4.05,-2.99,22.00,2,0,1.71,0,12,4,3.18
-5.82,-4.11,-3.05,22.00,2,0,1.71,0,12,4,3.25
-6.05,-3.52,-2.45,22.00,2,0,2.54,0,12,4,2.7
-8.03,-3.76,-2.17,6,0,2,4.27,0,4,0,2.9
-7.82,-3.39,-2.03,10,0,2,4.43,0,6,1,2.6
-7.82,-3.28,-2.10,15,0,4,4.54,0,8,2,2.4
-6.10,-2.40,-1.25,14,0,2,3.70,0,10,2,1.9
-4.75,-2.56,-2.57,6,0,2,2.19,1,4,0,0.5525568168
-5.35,-2.01,-1.28,10,0,2,3.34,1,6,1,1.8758195838
-5.28,-2.00,-1.29,14,0,2,3.28,1,8,2,1.6765601022
