,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],C,Anion Radii,Goldschmidt Tolerance Factor,A_EN,B_EN,C_EN
0,Ac2O3,Ac,Ac,False,element not in BV,element not in BV,1.12,1.12,cubic,-2.732,0.848,0,20.836,0.332,4.705,4.705,4.705,90,90,90,3.15,O,1.385,0.7071067812,1.1,1.1,3.44
1,AcAgO3,Ac,Ag,False,element not in BV,element not in BV,1.12,0.95,orthorhombic,-1.957,-0.055,0,14.485,0,5.779,6.077,8.248,90,90,90,0.817,O,1.385,0.7585877888,1.1,1.93,3.44
2,AcAlO3,Ac,Al,False,element not in BV,element not in BV,1.12,0.54,cubic,-3.532,-0.11,0,11.487,4.307,3.858,3.858,3.858,90,90,90,6.695,O,1.385,0.9201571359999999,1.1,1.61,3.44
3,AcAsO3,Ac,As,False,element not in BV,element not in BV,1.12,0.52,orthorhombic,-2.398,0.224,0,14.355,0,5.78,6.012,8.262,90,90,90,3.634,O,1.385,0.9298175784,1.1,2.18,3.44
4,AcAuO3,Ac,Au,False,element not in BV,element not in BV,1.12,0.93,orthorhombic,-2.006,-0.056,0,15.19,0.745,5.899,6.75,7.63,90,90,90,0.807,O,1.385,0.765141463,1.1,2.54,3.44
5,AcBO3,Ac,B,False,element not in BV,element not in BV,1.12,0.27,cubic,-2.316,0.786,0,10.075,1.071,3.693,3.693,3.693,90,90,90,4.163,O,1.385,1.0702734059999999,1.1,2.04,3.44
6,AcBaO3,Ac,Ba,False,element not in BV,element not in BV,1.12,1.35,orthorhombic,-2.741,0.221,0.2,20.944,0,6.315,6.356,10.436,90,90,90,-1.771,O,1.385,0.6476425912,1.1,0.89,3.44
7,AcBeO3,Ac,Be,False,element not in BV,element not in BV,1.12,0.45,cubic,-2.715,0.262,0.183,10.639,0,3.761,3.761,3.761,90,90,90,-0.08,O,1.385,0.9652874588,1.1,1.57,3.44
8,AcBiO3,Ac,Bi,False,element not in BV,element not in BV,1.12,0.9,orthorhombic,-2.5,0.027,0,17.182,1.639,6.09,6.415,8.796,90,90,90,2.653,O,1.385,0.775187084,1.1,2.02,3.44
9,AcCaO3,Ac,Ca,False,element not in BV,element not in BV,1.12,1.0,orthorhombic,-2.964,0.117,0.2,15.873,0,5.994,6.269,8.448,90,90,90,-1.025,O,1.385,0.7426844809,1.1,1,3.44
10,AcCdO3,Ac,Cd,False,element not in BV,element not in BV,1.12,0.95,orthorhombic,-2.224,0.061,0,15.094,0,5.84,6.199,8.338,90,90,90,0.264,O,1.385,0.7585877888,1.1,1.69,3.44
11,AcCeO3,Ac,Ce,False,element not in BV,element not in BV,1.12,0.94,cubic,-2.864,0.686,0,19.228,1.439,4.581,4.581,4.581,90,90,90,4.197,O,1.385,0.7618505320000001,1.1,1.12,3.44
12,AcCoO3,Ac,Co,False,element not in BV,element not in BV,1.12,0.63,rhombohedral,-2.426,-0.01,0.592,11.94,0,5.522,5.522,5.522,60.1,60.1,60.1,3.33,O,1.385,0.8790583061,1.1,1.88,3.44
13,AcCrO3,Ac,Cr,False,element not in BV,element not in BV,1.12,0.58,orthorhombic,-3.138,-0.107,0.6,12.5,1.817,5.594,5.639,7.925,90,90,90,5.121,O,1.385,0.901426202,1.1,1.66,3.44
14,AcCsO3,Ac,Cs,False,element not in BV,element not in BV,1.12,1.67,tetragonal,-1.602,0.752,0.004,19.919,0,4.179,4.179,5.702,90,90,90,-1.411,O,1.385,0.5798044147,1.1,0.79,3.44
15,AcCuO3,Ac,Cu,False,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.241,-0.077,0,11.892,0,5.509,5.528,7.809,90,90,90,1.596,O,1.385,0.8577736014,1.1,1.9,3.44
16,AcDyO3,Ac,Dy,False,element not in BV,element not in BV,1.12,0.99,orthorhombic,-3.712,0.002,0,15.895,4.542,5.989,6.176,8.595,90,90,90,5.48,O,1.385,0.7458115734,1.1,1.22,3.44
17,AcErO3,Ac,Er,False,element not in BV,element not in BV,1.12,0.89,orthorhombic,-3.748,-0.01,0,15.547,4.544,5.96,6.123,8.521,90,90,90,5.682,O,1.385,0.7785944996999999,1.1,1.24,3.44
18,AcEuO3,Ac,Eu,False,element not in BV,element not in BV,1.12,1.06,orthorhombic,-3.04,0.108,0.2,16.695,0,6.033,6.3,8.784,90,90,90,-0.381,O,1.385,0.7244590948,1.1,-,3.44
19,AcFeO3,Ac,Fe,False,element not in BV,element not in BV,1.12,0.67,orthorhombic,-2.731,-0.116,1,12.687,0.906,5.63,5.655,7.97,90,90,90,4.135,O,1.385,0.8619476822,1.1,1.83,3.44
20,AcGaO3,Ac,Ga,False,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.914,-0.073,0,12.393,3.174,5.584,5.622,7.895,90,90,90,5.294,O,1.385,0.8834426368000001,1.1,1.81,3.44
21,AcGdO3,Ac,Gd,False,element not in BV,element not in BV,1.12,0.94,orthorhombic,-3.67,0.016,0,16.276,4.335,6.029,6.225,8.673,90,90,90,5.268,O,1.385,0.7618505320000001,1.1,1.2,3.44
22,AcGeO3,Ac,Ge,False,element not in BV,element not in BV,1.12,0.63,orthorhombic,-2.547,0.093,0,13.62,0,5.744,5.816,8.154,90,90,90,3.511,O,1.385,0.8790583061,1.1,2.01,3.44
23,AcHfO3,Ac,Hf,False,element not in BV,element not in BV,1.12,0.71,orthorhombic,-3.414,0.104,0,14.273,0,5.773,5.94,8.324,90,90,90,5.504,O,1.385,0.8454904472,1.1,1.3,3.44
24,AcHgO3,Ac,Hg,False,element not in BV,element not in BV,1.12,1.11,orthorhombic,-1.951,0.021,0,15.992,0,5.817,6.68,8.231,90,90,90,0.336,O,1.385,0.7099408765,1.1,2,3.44
25,AcHoO3,Ac,Ho,False,element not in BV,element not in BV,1.12,0.9,orthorhombic,-3.731,-0.004,0,15.716,4.552,5.975,6.152,8.551,90,90,90,5.577,O,1.385,0.775187084,1.1,1.23,3.44
26,AcInO3,Ac,In,False,element not in BV,element not in BV,1.12,0.8,orthorhombic,-2.748,-0.036,0,14.775,2.695,5.857,6.035,8.359,90,90,90,3.988,O,1.385,0.8106647537,1.1,1.78,3.44
27,AcIrO3,Ac,Ir,False,element not in BV,element not in BV,1.12,0.63,orthorhombic,-2.194,0.075,0,13.405,0.754,5.616,5.907,8.082,90,90,90,1.277,O,1.385,0.8790583061,1.1,2.2,3.44
28,AcKO3,Ac,K,False,element not in BV,element not in BV,1.12,1.38,orthorhombic,-1.973,0.394,0.4,19.767,0,6.346,6.434,9.682,90,90,90,-2.742,O,1.385,0.6406157276,1.1,0.82,3.44
29,AcLaO3,Ac,La,False,element not in BV,element not in BV,1.12,1.03,cubic,-2.983,0.663,0,18.986,1.423,4.562,4.562,4.562,90,90,90,4.187,O,1.385,0.7334585867,1.1,1.1,3.44
30,AcLiO3,Ac,Li,False,element not in BV,element not in BV,1.12,0.76,cubic,-2.248,0.223,0.399,11.628,0,3.874,3.874,3.874,90,90,90,-0.334,O,1.385,0.8257820452,1.1,0.98,3.44
31,AcLuO3,Ac,Lu,False,element not in BV,element not in BV,1.12,0.86,orthorhombic,-3.793,-0.022,0,15.05,4.709,5.905,6.047,8.429,90,90,90,5.945,O,1.385,0.7889988806,1.1,1.27,3.44
32,AcMgO3,Ac,Mg,False,element not in BV,element not in BV,1.12,0.72,rhombohedral,-2.898,0.079,0.201,12.717,0,5.556,5.556,5.556,62.2,62.2,62.2,-,O,1.385,0.8414738654999999,1.1,1.31,3.44
33,AcMnO3,Ac,Mn,False,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.918,-0.12,0.8,12.612,0,5.612,5.655,7.948,90,90,90,4.094,O,1.385,0.8834426368000001,1.1,1.55,3.44
34,AcMoO3,Ac,Mo,False,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.638,0.121,0.403,13.687,0,5.684,5.914,8.143,90,90,90,4.549,O,1.385,0.8834426368000001,1.1,2.16,3.44
35,AcNaO3,Ac,Na,False,element not in BV,element not in BV,1.12,1.02,cubic,-1.826,0.544,0.4,13.679,0,4.09,4.09,4.09,90,90,90,-,O,1.385,0.7365083105,1.1,0.93,3.44
36,AcNbO3,Ac,Nb,False,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.955,0.081,0.001,13.985,0,5.717,5.966,8.201,90,90,90,4.946,O,1.385,0.8577736014,1.1,1.6,3.44
37,AcNdO3,Ac,Nd,False,element not in BV,element not in BV,1.12,0.98,cubic,-3.029,0.571,0,18.259,1.828,4.503,4.503,4.503,90,90,90,4.679,O,1.385,0.7489651106999999,1.1,1.14,3.44
38,AcNiO3,Ac,Ni,False,element not in BV,element not in BV,1.12,0.59,orthorhombic,-2.365,-0.077,0.2,11.833,0,5.505,5.522,7.786,90,90,90,1.575,O,1.385,0.8968620187,1.1,1.91,3.44
39,AcNpO3,Ac,Np,False,element not in BV,element not in BV,1.12,0.86,cubic,-3.018,0.512,0.794,18.186,0,4.497,4.497,4.497,90,90,90,4.396,O,1.385,0.7889988806,1.1,1.36,3.44
40,AcOsO3,Ac,Os,False,element not in BV,element not in BV,1.12,0.57,orthorhombic,-2.146,0.167,0.109,13.292,0,5.463,6.091,7.989,90,90,90,2.322,O,1.385,0.9060370777,1.1,2.2,3.44
41,AcPaO3,Ac,Pa,False,element not in BV,element not in BV,1.12,0.91,cubic,-2.693,0.491,0.241,18.517,0,4.524,4.524,4.524,90,90,90,4.095,O,1.385,0.7718093625,1.1,1.5,3.44
42,AcPbO3,Ac,Pb,False,element not in BV,element not in BV,1.12,0.99,orthorhombic,-2.369,0.038,0,16.738,0,6.034,6.377,8.701,90,90,90,1.255,O,1.385,0.7458115734,1.1,2.33,3.44
43,AcPdO3,Ac,Pd,False,element not in BV,element not in BV,1.12,0.75,orthorhombic,-2.171,-0.122,0,13.678,0,5.715,5.924,8.081,90,90,90,1.499,O,1.385,0.8296498768,1.1,2.2,3.44
