,Unnamed: 0,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],C,Anion Radii,Goldschmidt Tolerance Factor,A_EN,B_EN,C_EN,A_IE,B_IE,C_IE
0,0,Ac2O3,Ac,Ac,False,element not in BV,element not in BV,1.12,1.12,cubic,-2.732,0.848,0,20.836,0.332,4.705,4.705,4.705,90,90,90,3.15,O,1.385,0.7071067812,1.1,1.1,3.44,5.17,5.17,13.618
1,1,AcAgO3,Ac,Ag,False,element not in BV,element not in BV,1.12,0.95,orthorhombic,-1.957,-0.055,0,14.485,0,5.779,6.077,8.248,90,90,90,0.817,O,1.385,0.7585877888,1.1,1.93,3.44,5.17,7.5760000000000005,13.618
2,2,AcAlO3,Ac,Al,False,element not in BV,element not in BV,1.12,0.54,cubic,-3.532,-0.11,0,11.487,4.307,3.858,3.858,3.858,90,90,90,6.695,O,1.385,0.920157136,1.1,1.61,3.44,5.17,5.986000000000001,13.618
3,3,AcAsO3,Ac,As,False,element not in BV,element not in BV,1.12,0.52,orthorhombic,-2.398,0.224,0,14.355,0,5.78,6.012,8.262,90,90,90,3.634,O,1.385,0.9298175784,1.1,2.18,3.44,5.17,9.81,13.618
4,4,AcAuO3,Ac,Au,False,element not in BV,element not in BV,1.12,0.93,orthorhombic,-2.006,-0.056,0,15.19,0.745,5.899,6.75,7.63,90,90,90,0.807,O,1.385,0.765141463,1.1,2.54,3.44,5.17,9.225,13.618
5,5,AcBO3,Ac,B,False,element not in BV,element not in BV,1.12,0.27,cubic,-2.316,0.786,0,10.075,1.071,3.693,3.693,3.693,90,90,90,4.163,O,1.385,1.070273406,1.1,2.04,3.44,5.17,8.298,13.618
6,6,AcBaO3,Ac,Ba,False,element not in BV,element not in BV,1.12,1.35,orthorhombic,-2.741,0.221,0.2,20.944,0,6.315,6.356,10.436,90,90,90,-1.771,O,1.385,0.6476425912,1.1,0.89,3.44,5.17,5.212000000000001,13.618
7,7,AcBeO3,Ac,Be,False,element not in BV,element not in BV,1.12,0.45,cubic,-2.715,0.262,0.183,10.639,0,3.761,3.761,3.761,90,90,90,-0.08,O,1.385,0.9652874588,1.1,1.57,3.44,5.17,9.322000000000001,13.618
8,8,AcBiO3,Ac,Bi,False,element not in BV,element not in BV,1.12,0.9,orthorhombic,-2.5,0.027,0,17.182,1.639,6.09,6.415,8.796,90,90,90,2.653,O,1.385,0.775187084,1.1,2.02,3.44,5.17,7.289,13.618
9,9,AcCaO3,Ac,Ca,False,element not in BV,element not in BV,1.12,1.0,orthorhombic,-2.964,0.117,0.2,15.873,0,5.994,6.269,8.448,90,90,90,-1.025,O,1.385,0.7426844809,1.1,1,3.44,5.17,6.1129999999999995,13.618
10,10,AcCdO3,Ac,Cd,False,element not in BV,element not in BV,1.12,0.95,orthorhombic,-2.224,0.061,0,15.094,0,5.84,6.199,8.338,90,90,90,0.264,O,1.385,0.7585877888,1.1,1.69,3.44,5.17,8.993,13.618
11,11,AcCeO3,Ac,Ce,False,element not in BV,element not in BV,1.12,0.94,cubic,-2.864,0.686,0,19.228,1.439,4.581,4.581,4.581,90,90,90,4.197,O,1.385,0.7618505320000001,1.1,1.12,3.44,5.17,5.54,13.618
12,12,AcCoO3,Ac,Co,False,element not in BV,element not in BV,1.12,0.63,rhombohedral,-2.426,-0.01,0.592,11.94,0,5.522,5.522,5.522,60.1,60.1,60.1,3.33,O,1.385,0.8790583061,1.1,1.88,3.44,5.17,7.86,13.618
13,13,AcCrO3,Ac,Cr,False,element not in BV,element not in BV,1.12,0.58,orthorhombic,-3.138,-0.107,0.6,12.5,1.817,5.594,5.639,7.925,90,90,90,5.121,O,1.385,0.901426202,1.1,1.66,3.44,5.17,6.766,13.618
14,14,AcCsO3,Ac,Cs,False,element not in BV,element not in BV,1.12,1.67,tetragonal,-1.602,0.752,0.004,19.919,0,4.179,4.179,5.702,90,90,90,-1.411,O,1.385,0.5798044147,1.1,0.79,3.44,5.17,3.8939999999999997,13.618
15,15,AcCuO3,Ac,Cu,False,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.241,-0.077,0,11.892,0,5.509,5.528,7.809,90,90,90,1.596,O,1.385,0.8577736014,1.1,1.9,3.44,5.17,7.726,13.618
16,16,AcDyO3,Ac,Dy,False,element not in BV,element not in BV,1.12,0.99,orthorhombic,-3.712,0.002,0,15.895,4.542,5.989,6.176,8.595,90,90,90,5.48,O,1.385,0.7458115734,1.1,1.22,3.44,5.17,5.94,13.618
17,17,AcErO3,Ac,Er,False,element not in BV,element not in BV,1.12,0.89,orthorhombic,-3.748,-0.01,0,15.547,4.544,5.96,6.123,8.521,90,90,90,5.682,O,1.385,0.7785944996999999,1.1,1.24,3.44,5.17,6.101,13.618
18,18,AcEuO3,Ac,Eu,False,element not in BV,element not in BV,1.12,1.06,orthorhombic,-3.04,0.108,0.2,16.695,0,6.033,6.3,8.784,90,90,90,-0.381,O,1.385,0.7244590948,1.1,-,3.44,5.17,5.67,13.618
