,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,Goldschmidt Tolerance Factor,A rs,A rp,A rd,B rs,B rp,B rd,B EA,B s total,B p total,B d total,B f total
0,0,0,0,0,Ac2O3,Ac,Ac,0,element not in BV,element not in BV,1.12,1.12,cubic,-2.732,0.848,0,20.836,0.332,4.705,4.705,4.705,90,90,90,3.15,0.8296296296,0.7071067812,5.17,5.17,1.1,1.1,0.7071067812,,,,,,,0.35,14,30,30,14
1,1,1,1,1,AcAgO3,Ac,Ag,0,element not in BV,element not in BV,1.12,0.95,orthorhombic,-1.957,-0.055,0,14.485,0,5.779,6.077,8.248,90,90,90,0.817,0.7037037037,0.7593711954000001,5.17,7.5760000000000005,1.1,1.93,0.7593711954000001,,,,1.045,1.33,0.385,1.3019999999999998,9,18,20,0
2,2,2,2,2,AcAlO3,Ac,Al,0,element not in BV,element not in BV,1.12,0.54,cubic,-3.532,-0.11,0,11.487,4.307,3.858,3.858,3.858,90,90,90,6.695,0.4,0.924102513,5.17,5.9860000000000015,1.1,1.61,0.924102513,,,,0.77,0.905,,0.43283,6,7,0,0
3,3,3,3,3,AcAsO3,Ac,As,0,element not in BV,element not in BV,1.12,0.52,orthorhombic,-2.398,0.224,0,14.355,0,5.78,6.012,8.262,90,90,90,3.634,0.3851851852000001,0.9339859623000001,5.17,9.81,1.1,2.18,0.9339859623000001,,,,0.67,0.745,0.155,0.8140000000000001,8,15,10,0
4,4,4,4,4,AcAuO3,Ac,Au,0,element not in BV,element not in BV,1.12,0.93,orthorhombic,-2.006,-0.056,0,15.19,0.745,5.899,6.75,7.63,90,90,90,0.807,0.6888888889,0.7660323462999999,5.17,9.225,1.1,2.54,0.7660323462999999,,,,1.21,1.45,0.488,2.30863,11,24,29,14
5,5,5,5,5,AcBO3,Ac,B,0,element not in BV,element not in BV,1.12,0.27,cubic,-2.316,0.786,0,10.075,1.071,3.693,3.693,3.693,90,90,90,4.163,0.2,1.0781195984999998,5.17,8.298,1.1,2.04,1.0781195984999998,,,,0.48,0.315,,0.279723,4,1,0,0
6,6,6,6,6,AcBaO3,Ac,Ba,0,element not in BV,element not in BV,1.12,1.35,orthorhombic,-2.741,0.221,0.2,20.944,0,6.315,6.356,10.436,90,90,90,-1.771,1.0,0.6468717590999999,5.17,5.2120000000000015,1.1,0.89,0.6468717590999999,,,,1.515,1.8869999999999998,0.94,0.14462,12,24,20,0
7,7,7,7,7,AcBeO3,Ac,Be,0,element not in BV,element not in BV,1.12,0.45,cubic,-2.715,0.262,0.183,10.639,0,3.761,3.761,3.761,90,90,90,-0.08,0.3333333333,0.9703076386,5.17,9.322000000000001,1.1,1.57,0.9703076386,,,,0.64,0.44,,,4,0,0,0
8,8,8,8,8,AcBiO3,Ac,Bi,0,element not in BV,element not in BV,1.12,0.9,orthorhombic,-2.5,0.027,0,17.182,1.639,6.09,6.415,8.796,90,90,90,2.653,0.6666666667,0.7762461109000001,5.17,7.289,1.1,2.02,0.7762461109000001,,,,0.92,1.077,0.43799999999999994,0.946,12,26,30,14
9,9,9,9,9,AcCaO3,Ac,Ca,0,element not in BV,element not in BV,1.12,1.0,orthorhombic,-2.964,0.117,0.2,15.873,0,5.994,6.269,8.448,90,90,90,-1.025,0.7407407407,0.7432143615000001,5.17,6.1129999999999995,1.1,1.0,0.7432143615000001,,,,1.32,1.68,0.34,0.02455,8,12,0,0
10,10,10,10,10,AcCdO3,Ac,Cd,0,element not in BV,element not in BV,1.12,0.95,orthorhombic,-2.224,0.061,0,15.094,0,5.84,6.199,8.338,90,90,90,0.264,0.7037037037,0.7593711954000001,5.17,8.993,1.1,1.69,0.7593711954000001,,,,0.985,1.23,0.37,,10,18,20,0
11,11,11,11,11,AcCeO3,Ac,Ce,0,element not in BV,element not in BV,1.12,0.94,cubic,-2.864,0.686,0,19.228,1.439,4.581,4.581,4.581,90,90,90,4.197,0.6962962963,0.7626872269,5.17,5.54,1.1,1.12,0.7626872269,,,,,,,,12,24,21,0
12,12,12,12,12,AcCoO3,Ac,Co,0,element not in BV,element not in BV,1.12,0.63,rhombohedral,-2.426,-0.01,0.592,11.94,0,5.522,5.522,5.522,60.1,60.1,60.1,3.33,0.4666666667,0.8820978533,5.17,7.86,1.1,1.88,0.8820978533,,,,0.92,1.1,0.21,0.662,8,12,7,0
13,13,13,13,13,AcCrO3,Ac,Cr,0,element not in BV,element not in BV,1.12,0.58,orthorhombic,-3.138,-0.107,0.6,12.5,1.817,5.594,5.639,7.925,90,90,90,5.121,0.4296296296,0.9049501293000001,5.17,6.766,1.1,1.66,0.9049501293000001,,,,1.07,1.37,0.25,0.6659999999999999,7,12,5,0
14,14,14,14,14,AcCsO3,Ac,Cs,0,element not in BV,element not in BV,1.12,1.67,tetragonal,-1.602,0.752,0.004,19.919,0,4.179,4.179,5.702,90,90,90,-1.411,1.2370370370000001,0.5783290561,5.17,3.8939999999999997,1.1,0.79,0.5783290561,,,,1.71,2.6,,0.4716260000000001,11,24,20,0
15,15,15,15,15,AcCuO3,Ac,Cu,0,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.241,-0.077,0,11.892,0,5.509,5.528,7.809,90,90,90,1.596,0.5037037037,0.8603713051999999,5.17,7.726,1.1,1.9,0.8603713051999999,,,,0.88,1.16,0.185,1.235,7,12,10,0
16,16,16,16,16,AcDyO3,Ac,Dy,0,element not in BV,element not in BV,1.12,0.99,orthorhombic,-3.712,0.002,0,15.895,4.542,5.989,6.176,8.595,90,90,90,5.48,0.7333333333,0.7463904912999999,5.17,5.94,1.1,1.22,0.7463904912999999,,,,,,,,12,24,20,9
17,17,17,17,17,AcErO3,Ac,Er,0,element not in BV,element not in BV,1.12,0.89,orthorhombic,-3.748,-0.01,0,15.547,4.544,5.96,6.123,8.521,90,90,90,5.682,0.6592592593,0.7797114953000001,5.17,6.101,1.1,1.24,0.7797114953000001,,,,,,,,12,24,20,11
18,18,18,18,18,AcEuO3,Ac,Eu,0,element not in BV,element not in BV,1.12,1.06,orthorhombic,-3.04,0.108,0.2,16.695,0,6.033,6.3,8.784,90,90,90,-0.381,0.7851851851999999,0.7247110994,5.17,5.67,1.1,1.2,0.7247110994,,,,,,,,12,24,20,6
19,19,19,19,19,AcFeO3,Ac,Fe,0,element not in BV,element not in BV,1.12,0.67,orthorhombic,-2.731,-0.116,1,12.687,0.906,5.63,5.655,7.97,90,90,90,4.135,0.4962962963000001,0.8646305690999999,5.17,7.87,1.1,1.83,0.8646305690999999,,,,0.95,1.16,0.22,0.151,8,12,6,0
20,20,20,20,20,AcGaO3,Ac,Ga,0,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.914,-0.073,0,12.393,3.174,5.584,5.622,7.895,90,90,90,5.294,0.4592592593,0.8865755073999999,5.17,5.999,1.1,1.81,0.8865755073999999,,,,0.76,0.935,0.17,0.43,8,13,10,0
21,21,21,21,21,AcGdO3,Ac,Gd,0,element not in BV,element not in BV,1.12,0.94,orthorhombic,-3.67,0.016,0,16.276,4.335,6.029,6.225,8.673,90,90,90,5.268,0.6962962963,0.7626872269,5.17,6.15,1.1,1.2,0.7626872269,,,,,,,,12,24,20,7
22,22,22,22,22,AcGeO3,Ac,Ge,0,element not in BV,element not in BV,1.12,0.63,orthorhombic,-2.547,0.093,0,13.62,0,5.744,5.816,8.154,90,90,90,3.511,0.4666666667,0.8820978533,5.17,7.899,1.1,2.01,0.8820978533,,,,0.72,0.84,0.16,1.232712,8,14,10,0
23,23,23,23,23,AcHfO3,Ac,Hf,0,element not in BV,element not in BV,1.12,0.71,orthorhombic,-3.414,0.104,0,14.273,0,5.773,5.94,8.324,90,90,90,5.504,0.5259259259000001,0.8478416259999999,5.17,6.65,1.1,1.3,0.8478416259999999,,,,1.3,1.61,0.63,0.0,12,24,21,14
