,atom,s,s,p,s,p,d,s,p,d,f,s,p,d,f,s,p,d,s,p,s total,p total,d total,f total
1,He,1,,,,,,,,,,,,,,,,,,,1,0,0,0
2,He,2,,,,,,,,,,,,,,,,,,,2,0,0,0
3,Li,2,1,,,,,,,,,,,,,,,,,,3,0,0,0
4,Be,2,2,,,,,,,,,,,,,,,,,,4,0,0,0
5,B,2,2,1,,,,,,,,,,,,,,,,,4,1,0,0
6,C,2,2,2,,,,,,,,,,,,,,,,,4,2,0,0
7,N,2,2,3,,,,,,,,,,,,,,,,,4,3,0,0
8,O,2,2,4,,,,,,,,,,,,,,,,,4,4,0,0
9,F,2,2,5,,,,,,,,,,,,,,,,,4,5,0,0
10,Ne,2,2,6,,,,,,,,,,,,,,,,,4,6,0,0
11,Na,2,2,6,1,,,,,,,,,,,,,,,,5,6,0,0
12,Mg,2,2,6,2,,,,,,,,,,,,,,,,6,6,0,0
13,Al,2,2,6,2,1,,,,,,,,,,,,,,,6,7,0,0
14,Si,2,2,6,2,2,,,,,,,,,,,,,,,6,8,0,0
15,P,2,2,6,2,3,,,,,,,,,,,,,,,6,9,0,0
16,S,2,2,6,2,4,,,,,,,,,,,,,,,6,10,0,0
17,Cl,2,2,6,2,5,,,,,,,,,,,,,,,6,11,0,0
18,Ar,2,2,6,2,6,,,,,,,,,,,,,,,6,12,0,0
19,K,2,2,6,2,6,,1,,,,,,,,,,,,,7,12,0,0
20,Ca,2,2,6,2,6,,2,,,,,,,,,,,,,8,12,0,0
21,Sc,2,2,6,2,6,1,2,,,,,,,,,,,,,8,12,1,0
22,Ti,2,2,6,2,6,2,2,,,,,,,,,,,,,8,12,2,0
23,V,2,2,6,2,6,3,2,,,,,,,,,,,,,8,12,3,0
24,Cr,2,2,6,2,6,5,1,,,,,,,,,,,,,7,12,5,0
25,Mn,2,2,6,2,6,5,2,,,,,,,,,,,,,8,12,5,0
26,Fe,2,2,6,2,6,6,2,,,,,,,,,,,,,8,12,6,0
27,Co,2,2,6,2,6,7,2,,,,,,,,,,,,,8,12,7,0
28,Ni,2,2,6,2,6,8,2,,,,,,,,,,,,,8,12,8,0
29,Cu,2,2,6,2,6,10,1,,,,,,,,,,,,,7,12,10,0
30,Zn,2,2,6,2,6,10,2,,,,,,,,,,,,,8,12,10,0
31,Ga,2,2,6,2,6,10,2,1,,,,,,,,,,,,8,13,10,0
32,Ge,2,2,6,2,6,10,2,2,,,,,,,,,,,,8,14,10,0
33,As,2,2,6,2,6,10,2,3,,,,,,,,,,,,8,15,10,0
34,Se,2,2,6,2,6,10,2,4,,,,,,,,,,,,8,16,10,0
35,Br,2,2,6,2,6,10,2,5,,,,,,,,,,,,8,17,10,0
36,Kr,2,2,6,2,6,10,2,6,,,,,,,,,,,,8,18,10,0
37,Rb,2,2,6,2,6,10,2,6,,,1,,,,,,,,,9,18,10,0
38,Sr,2,2,6,2,6,10,2,6,,,2,,,,,,,,,10,18,10,0
39,Y,2,2,6,2,6,10,2,6,1,,2,,,,,,,,,10,18,11,0
40,Zr,2,2,6,2,6,10,2,6,2,,2,,,,,,,,,10,18,12,0
41,Nb,2,2,6,2,6,10,2,6,4,,1,,,,,,,,,9,18,14,0
42,Mo,2,2,6,2,6,10,2,6,5,,1,,,,,,,,,9,18,15,0
43,Tc,2,2,6,2,6,10,2,6,5,,2,,,,,,,,,10,18,15,0
44,Ru,2,2,6,2,6,10,2,6,7,,1,,,,,,,,,9,18,17,0
45,Rh,2,2,6,2,6,10,2,6,8,,1,,,,,,,,,9,18,18,0
46,Pd,2,2,6,2,6,10,2,6,10,,,,,,,,,,,8,18,20,0
47,Ag,2,2,6,2,6,10,2,6,10,,1,,,,,,,,,9,18,20,0
48,Cd,2,2,6,2,6,10,2,6,10,,2,,,,,,,,,10,18,20,0
49,In,2,2,6,2,6,10,2,6,10,,2,1,,,,,,,,10,19,20,0
50,Sn,2,2,6,2,6,10,2,6,10,,2,2,,,,,,,,10,20,20,0
51,Sb,2,2,6,2,6,10,2,6,10,,2,3,,,,,,,,10,21,20,0
52,Te,2,2,6,2,6,10,2,6,10,,2,4,,,,,,,,10,22,20,0
53,I,2,2,6,2,6,10,2,6,10,,2,5,,,,,,,,10,23,20,0
54,Xe,2,2,6,2,6,10,2,6,10,,2,6,,,,,,,,10,24,20,0
55,Cs,2,2,6,2,6,10,2,6,10,,2,6,,,1,,,,,11,24,20,0
56,Ba,2,2,6,2,6,10,2,6,10,,2,6,,,2,,,,,12,24,20,0
57,La,2,2,6,2,6,10,2,6,10,,2,6,1,,2,,,,,12,24,21,0
58,Ce,2,2,6,2,6,10,2,6,10,1,2,6,1,,2,,,,,12,24,21,0
59,Pr,2,2,6,2,6,10,2,6,10,3,2,6,,,2,,,,,12,24,21,1
60,Nd,2,2,6,2,6,10,2,6,10,4,2,6,,,2,,,,,12,24,20,3
61,Pm,2,2,6,2,6,10,2,6,10,5,2,6,,,2,,,,,12,24,20,4
62,Sm,2,2,6,2,6,10,2,6,10,6,2,6,,,2,,,,,12,24,20,5
63,Eu,2,2,6,2,6,10,2,6,10,7,2,6,,,2,,,,,12,24,20,6
64,Gd,2,2,6,2,6,10,2,6,10,7,2,6,1,,2,,,,,12,24,20,7
65,Tb,2,2,6,2,6,10,2,6,10,9,2,6,,,2,,,,,12,24,21,7
66,Dy,2,2,6,2,6,10,2,6,10,10,2,6,,,2,,,,,12,24,20,9
67,Ho,2,2,6,2,6,10,2,6,10,11,2,6,,,2,,,,,12,24,20,10
68,Er,2,2,6,2,6,10,2,6,10,12,2,6,,,2,,,,,12,24,20,11
69,Tm,2,2,6,2,6,10,2,6,10,13,2,6,,,2,,,,,12,24,20,12
70,Yb,2,2,6,2,6,10,2,6,10,14,2,6,,,2,,,,,12,24,20,13
71,Lu,2,2,6,2,6,10,2,6,10,14,2,6,1,,2,,,,,12,24,20,14
72,Hf,2,2,6,2,6,10,2,6,10,14,2,6,2,,2,,,,,12,24,21,14
73,Ta,2,2,6,2,6,10,2,6,10,14,2,6,3,,2,,,,,12,24,22,14
74,W,2,2,6,2,6,10,2,6,10,14,2,6,4,,2,,,,,12,24,23,14
75,Re,2,2,6,2,6,10,2,6,10,14,2,6,5,,2,,,,,12,24,24,14
76,Os,2,2,6,2,6,10,2,6,10,14,2,6,6,,2,,,,,12,24,25,14
77,Ir,2,2,6,2,6,10,2,6,10,14,2,6,7,,2,,,,,12,24,26,14
78,Pt,2,2,6,2,6,10,2,6,10,14,2,6,9,,1,,,,,12,24,27,14
79,Au,2,2,6,2,6,10,2,6,10,14,2,6,10,,1,,,,,11,24,29,14
80,Hg,2,2,6,2,6,10,2,6,10,14,2,6,10,,2,,,,,11,24,30,14
81,Tl,2,2,6,2,6,10,2,6,10,14,2,6,10,,2,1,,,,12,24,30,14
82,Pb,2,2,6,2,6,10,2,6,10,14,2,6,10,,2,2,,,,12,25,30,14
83,Bi,2,2,6,2,6,10,2,6,10,14,2,6,10,,2,3,,,,12,26,30,14
84,Po,2,2,6,2,6,10,2,6,10,14,2,6,10,,2,4,,,,12,27,30,14
85,At,2,2,6,2,6,10,2,6,10,14,2,6,10,,2,5,,,,12,28,30,14
86,Rn,2,2,6,2,6,10,2,6,10,14,2,6,10,,2,6,,,,12,29,30,14
87,Fr,2,2,6,2,6,10,2,6,10,14,2,6,10,,2,6,,1,,12,30,30,14
88,Ra,2,2,6,2,6,10,2,6,10,14,2,6,10,,2,6,,2,,13,30,30,14
89,Ac,2,2,6,2,6,10,2,6,10,14,2,6,10,,2,6,1,2,,14,30,30,14
90,Th,2,2,6,2,6,10,2,6,10,14,2,6,10,,2,6,2,2,,14,30,31,14
91,Pa,2,2,6,2,6,10,2,6,10,14,2,6,10,2,2,6,1,2,,14,30,32,14
92,U,2,2,6,2,6,10,2,6,10,14,2,6,10,3,2,6,1,2,,14,30,31,16
93,Np,2,2,6,2,6,10,2,6,10,14,2,6,10,4,2,6,1,2,,14,30,31,17
94,Pu,2,2,6,2,6,10,2,6,10,14,2,6,10,6,2,6,,2,,14,30,31,18
95,Am,2,2,6,2,6,10,2,6,10,14,2,6,10,7,2,6,,2,,14,30,30,20
96,Cm,2,2,6,2,6,10,2,6,10,14,2,6,10,7,2,6,1,2,,14,30,30,21
97,Bk,2,2,6,2,6,10,2,6,10,14,2,6,10,9,2,6,,2,,14,30,31,21
98,Cf,2,2,6,2,6,10,2,6,10,14,2,6,10,10,2,6,,2,,14,30,30,23
99,Es,2,2,6,2,6,10,2,6,10,14,2,6,10,11,2,6,,2,,14,30,30,24
100,Fm,2,2,6,2,6,10,2,6,10,14,2,6,10,12,2,6,,2,,14,30,30,25
101,Md,2,2,6,2,6,10,2,6,10,14,2,6,10,13,2,6,,2,,14,30,30,26
102,No,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,,2,,14,30,30,27
103,Lr,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,,2,1,14,30,30,28
104,Rf,2,2,6,2,6,10,2,6,10,14,2,6,10,14,2,6,2,2,,14,31,30,28
