,Unnamed: 0,Unnamed: 0.1,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,Goldschmidt Tolerance Factor
0,0,0,Ac2O3,Ac,Ac,0,element not in BV,element not in BV,1.12,1.12,cubic,-2.732,0.848,0,20.836,0.332,4.705,4.705,4.705,90,90,90,3.15,0.8296296296,0.7071067812,5.17,5.17,1.1,1.1,0.7071067812
2,2,2,AcAlO3,Ac,Al,0,element not in BV,element not in BV,1.12,0.54,cubic,-3.532,-0.11,0,11.487,4.307,3.858,3.858,3.858,90,90,90,6.695,0.4,0.924102513,5.17,5.986000000000001,1.1,1.61,0.9185098395
4,4,4,AcAuO3,Ac,Au,0,element not in BV,element not in BV,1.12,0.93,orthorhombic,-2.006,-0.056,0,15.19,0.745,5.899,6.75,7.63,90,90,90,0.807,0.6888888889,0.7660323462999999,5.17,9.225,1.1,2.54,0.7647678492000001
5,5,5,AcBO3,Ac,B,0,element not in BV,element not in BV,1.12,0.27,cubic,-2.316,0.786,0,10.075,1.071,3.693,3.693,3.693,90,90,90,4.163,0.2,1.0781195984999998,5.17,8.298,1.1,2.04,1.0670114303
8,8,8,AcBiO3,Ac,Bi,0,element not in BV,element not in BV,1.12,0.9,orthorhombic,-2.5,0.027,0,17.182,1.639,6.09,6.415,8.796,90,90,90,2.653,0.6666666667,0.7762461109000001,5.17,7.289,1.1,2.02,0.7747430820000001
11,11,11,AcCeO3,Ac,Ce,0,element not in BV,element not in BV,1.12,0.94,cubic,-2.864,0.686,0,19.228,1.439,4.581,4.581,4.581,90,90,90,4.197,0.6962962963,0.7626872269,5.17,5.54,1.1,1.12,0.7614996104999999
13,13,13,AcCrO3,Ac,Cr,0,element not in BV,element not in BV,1.12,0.58,orthorhombic,-3.138,-0.107,0.6,12.5,1.817,5.594,5.639,7.925,90,90,90,5.121,0.4296296296,0.9049501293000001,5.17,6.766,1.1,1.66,0.8999540851000001
16,16,16,AcDyO3,Ac,Dy,0,element not in BV,element not in BV,1.12,0.99,orthorhombic,-3.712,0.002,0,15.895,4.542,5.989,6.176,8.595,90,90,90,5.48,0.7333333333,0.7463904912999999,5.17,5.94,1.1,1.22,0.7455686562999999
17,17,17,AcErO3,Ac,Er,0,element not in BV,element not in BV,1.12,0.89,orthorhombic,-3.748,-0.01,0,15.547,4.544,5.96,6.123,8.521,90,90,90,5.682,0.6592592593,0.7797114953000001,5.17,6.101,1.1,1.24,0.7781262395999999
19,19,19,AcFeO3,Ac,Fe,0,element not in BV,element not in BV,1.12,0.67,orthorhombic,-2.731,-0.116,1,12.687,0.906,5.63,5.655,7.97,90,90,90,4.135,0.49629629630000005,0.8646305690999999,5.17,7.87,1.1,1.83,0.8608256467000001
20,20,20,AcGaO3,Ac,Ga,0,element not in BV,element not in BV,1.12,0.62,orthorhombic,-2.914,-0.073,0,12.393,3.174,5.584,5.622,7.895,90,90,90,5.294,0.4592592593,0.8865755073999999,5.17,5.999,1.1,1.81,0.8821332122
21,21,21,AcGdO3,Ac,Gd,0,element not in BV,element not in BV,1.12,0.94,orthorhombic,-3.67,0.016,0,16.276,4.335,6.029,6.225,8.673,90,90,90,5.268,0.6962962963,0.7626872269,5.17,6.15,1.1,1.2,0.7614996104999999
25,25,25,AcHoO3,Ac,Ho,0,element not in BV,element not in BV,1.12,0.9,orthorhombic,-3.731,-0.004,0,15.716,4.552,5.975,6.152,8.551,90,90,90,5.577,0.6666666667,0.7762461109000001,5.17,6.018,1.1,1.23,0.7747430820000001
26,26,26,AcInO3,Ac,In,0,element not in BV,element not in BV,1.12,0.8,orthorhombic,-2.748,-0.036,0,14.775,2.695,5.857,6.035,8.359,90,90,90,3.988,0.5925925926,0.8123505812,5.17,5.7860000000000005,1.1,1.78,0.8099586766
27,27,27,AcIrO3,Ac,Ir,0,element not in BV,element not in BV,1.12,0.63,orthorhombic,-2.194,0.075,0,13.405,0.754,5.616,5.907,8.082,90,90,90,1.277,0.4666666667,0.8820978533,5.17,9.1,1.1,2.2,0.8777877284000001
29,29,29,AcLaO3,Ac,La,0,element not in BV,element not in BV,1.12,1.03,cubic,-2.983,0.663,0,18.986,1.423,4.562,4.562,4.562,90,90,90,4.187,0.762962963,0.7338461131999999,5.17,5.58,1.1,1.1,0.7332959212000001
31,31,31,AcLuO3,Ac,Lu,0,element not in BV,element not in BV,1.12,0.86,orthorhombic,-3.793,-0.022,0,15.05,4.709,5.905,6.047,8.429,90,90,90,5.945,0.637037037,0.7902958143000001,5.17,5.4259,1.1,1.27,0.7884553489
37,37,37,AcNdO3,Ac,Nd,0,element not in BV,element not in BV,1.12,0.98,cubic,-3.029,0.571,0,18.259,1.828,4.503,4.503,4.503,90,90,90,4.679,0.7259259259,0.7495938839,5.17,5.53,1.1,1.14,0.7487012976999999
45,45,45,AcPrO3,Ac,Pr,0,element not in BV,element not in BV,1.12,0.92,cubic,-2.953,0.625,0,18.704,1.649,4.539,4.539,4.539,90,90,90,4.449,0.6814814815000001,0.7694069381,5.17,5.46,1.1,1.13,0.7680642623
48,48,48,AcRbO3,Ac,Rb,0,element not in BV,element not in BV,1.12,1.52,orthorhombic,-1.914,0.444,0,20.923,0.599,5.98,6.089,11.491,90,90,90,-2.002,1.1259259259,0.6085553134,5.17,4.177,1.1,0.82,0.6102428386
50,50,50,AcRhO3,Ac,Rh,0,element not in BV,element not in BV,1.12,0.61,orthorhombic,-2.334,-0.077,0,13.23,0.604,5.635,5.837,8.046,90,90,90,1.899,0.4518518519,0.8910988518,5.17,7.46,1.1,2.28,0.8865219346
52,52,52,AcSbO3,Ac,Sb,0,element not in BV,element not in BV,1.12,0.68,orthorhombic,-2.465,0.114,0,16.31,0.296,5.98,6.327,8.621,90,90,90,2.835,0.5037037037,0.8603713051999999,5.17,8.641,1.1,2.05,0.8566870618000001
53,53,53,AcScO3,Ac,Sc,0,element not in BV,element not in BV,1.12,0.75,orthorhombic,-3.762,-0.068,0,13.854,4.099,5.782,5.844,8.201,90,90,90,6.193,0.5555555556,0.8316922617,5.17,6.54,1.1,1.36,0.8287949249
55,55,55,AcSmO3,Ac,Sm,0,element not in BV,element not in BV,1.12,0.96,orthorhombic,-3.608,0.033,0,16.756,4.287,6.08,6.293,8.759,90,90,90,4.949,0.7111111111,0.7560838743000001,5.17,5.64,1.1,1.17,0.7550462240000001
64,64,64,AcTlO3,Ac,Tl,0,element not in BV,element not in BV,1.12,1.2,orthorhombic,-2.27,-0.012,0,15.973,1.041,5.937,6.296,8.547,90,90,90,1.876,0.8888888889,0.6849230390000001,5.17,6.108,1.1,1.62,0.6853496495
65,65,65,AcTmO3,Ac,Tm,0,element not in BV,element not in BV,1.12,0.96,orthorhombic,-3.772,-0.016,0,15.361,4.565,5.94,6.089,8.494,90,90,90,5.793,0.7111111111,0.7560838743000001,5.17,6.184,1.1,1.25,0.7550462240000001
67,67,67,AcVO3,Ac,V,0,element not in BV,element not in BV,1.12,0.64,orthorhombic,-3.221,-0.116,0.4,12.873,1.21,5.664,5.684,7.997,90,90,90,4.968,0.47407407409999996,0.8776652008,5.17,6.74,1.1,1.63,0.8734848473000001
69,69,69,AcYO3,Ac,Y,0,element not in BV,element not in BV,1.12,0.9,orthorhombic,-3.693,0.001,0,15.939,4.608,5.993,6.183,8.603,90,90,90,5.419,0.6666666667,0.7762461109000001,5.17,6.38,1.1,1.22,0.7747430820000001
79,79,79,AgBaO3,Ag,Ba,0,not balanced,not balanced,1.28,1.35,orthorhombic,-0.989,0.388,-,15.631,0.247,6.636,6.739,6.99,90,90,90,-6.975,1.0,0.6887743832,7.5760000000000005,5.212000000000001,1.93,0.89,0.6891076995000001
109,109,109,AgNbO3,Ag,Nb,1,1,5,1.28,0.64,rhombohedral,-2.009,0.043,0,12.263,1.269,5.611,5.611,5.611,59.2,59.2,59.2,4.672,0.47407407409999996,0.9345180073,7.5760000000000005,6.88,1.93,1.6,0.9289442027
112,112,112,AgNpO3,Ag,Np,0,element not in BV,element not in BV,1.28,0.86,orthorhombic,-2.246,0.086,0.4,14.282,1.698,5.694,6.003,8.356,90,90,90,1.048,0.637037037,0.8414890654,7.5760000000000005,6.19,1.93,1.36,0.838516006
114,114,114,AgPaO3,Ag,Pa,0,element not in BV,element not in BV,1.28,0.91,rhombohedral,-2.326,-0.361,0,14.961,2.571,6.043,6.043,6.043,58.2,58.2,58.2,4.367,0.6740740741,0.8228720506999999,7.5760000000000005,5.89,1.93,1.5,0.8203663089
120,120,120,AgPuO3,Ag,Pu,0,element not in BV,element not in BV,1.28,0.83,orthorhombic,-2.016,0.046,0.6,14.166,0.997,5.67,5.99,8.343,90,90,90,0.281,0.6148148148,0.8530691901,7.5760000000000005,6.06,1.93,1.28,0.8497964904
131,131,131,AgTaO3,Ag,Ta,1,1,5,1.28,0.64,rhombohedral,-2.247,0.018,0,12.114,2.03,5.584,5.584,5.584,59.3,59.3,59.3,5.586,0.47407407409999996,0.9345180073,7.5760000000000005,7.89,1.93,1.5,0.9289442027
139,139,139,AgUO3,Ag,U,0,1,5,1.28,0.76,rhombohedral,-2.513,-0.009,0.2,14.714,2.636,6.032,6.032,6.032,57.7,57.7,57.7,3.748,0.5629629629999999,0.8813700637999999,7.5760000000000005,6.05,1.93,1.38,0.8773361915000001
140,140,140,AgVO3,Ag,V,1,1,5,1.28,0.54,tetragonal,-1.582,0.125,0,11.419,0.341,3.684,3.684,4.208,90,90,90,1.832,0.4,0.9839634045000001,7.5760000000000005,6.74,1.93,1.63,0.9768279245
146,146,146,AlAcO3,Al,Ac,0,element not in BV,element not in BV,0.54,1.12,orthorhombic,-3.304,0.228,0,14.825,3.118,5.553,5.62,9.501,90,90,90,-5.958,0.8296296296,0.5410655127,5.986000000000001,5.17,1.61,1.1,0.5443599822999999
