,index,Unnamed: 0,Unnamed: 0.1,Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,Goldschmidt Tolerance Factor
0,3287,3287,3287,PrAlO3,Pr,Al,1,3,3,1.18,0.54,rhombohedral,-3.5,-0.079,0,10.784,4.271,5.323,5.323,5.323,60.5,60.5,60.5,6.474,0.4,0.9465503473000001,5.46,5.986000000000001,1.13,1.61,0.9465503473000001
1,1375,1375,1375,EuTeO3,Eu,Te,0,2,4,1.48,0.97,orthorhombic,-2.197,0.146,0,14.143,0.215,5.718,6.001,8.244,90,90,90,2.866,0.7185185184999999,0.8625483581000001,5.67,9.009,1.2,2.1,0.8625483581000001
2,2246,2246,2246,LiSnO3,Li,Sn,0,not balanced,not balanced,0.92,0.69,orthorhombic,-1.623,0.24,0.23024652898311615,10.63,2.954,5.388,5.467,7.217,90,90,90,-0.934,0.5111111111,0.7868296046,5.392,7.343999999999999,0.98,1.96,0.7868296046
3,3129,3129,3129,PbTiO3,Pb,Ti,1,2,4,1.49,0.61,tetragonal,-2.517,-0.021,0,12.85,1.687,3.894,3.894,4.236,90,90,90,-0.35470613837242126,0.4518518519,1.0245832952,7.416,6.82,2.33,1.54,1.0245832952
4,1460,1460,1460,GaAcO3,Ga,Ac,0,element not in BV,element not in BV,0.62,1.12,orthorhombic,-2.856,0.057,0,15.888,2.996,4.54,6.777,10.328,90,90,90,-2.981,0.8296296296,0.5639677567,5.999,5.17,1.81,1.1,0.5639677567
5,2327,2327,2327,LuTlO3,Lu,Tl,0,3,3,1.03,0.89,orthorhombic,-2.3,0.149,0,13.621,1.053,5.447,5.792,8.636,90,90,90,0.315,0.6592592593,0.751300955,5.4259,6.108,1.27,1.62,0.751300955
6,1856,1856,1856,HoLuO3,Ho,Lu,0,not balanced,not balanced,1.12,0.86,cubic,-3.121,0.797,0,14.255,2.083,4.146,4.146,4.146,90,90,90,2.495,0.637037037,0.7902958143000001,6.018,5.4259,1.23,1.27,0.7902958143000001
7,2906,2906,2906,NpTbO3,Np,Tb,0,element not in BV,element not in BV,0.98,0.84,cubic,-2.953,0.568,0.8,16.029,1.542,4.311,4.311,4.311,90,90,90,4.487,0.6222222222,0.7523099543999999,6.19,5.86,1.36,1.1,0.7523099543999999
8,1139,1139,1139,CuPmO3,Cu,Pm,0,element not in BV,element not in BV,0.68,0.97,rhombohedral,-1.98,0.224,0.4,14.195,0.366,6.115,6.115,6.115,54.8,54.8,54.8,-3.828,0.7185185184999999,0.6187184335,7.726,5.553999999999999,1.9,1.13,0.6187184335
9,4692,4692,4692,TlGaO3,Tl,Ga,0,3,3,0.98,0.62,orthorhombic,-1.454,0.065,0.23024652898311615,11.272,0.558,5.316,5.457,7.772,90,90,90,-1.757,0.4592592593,0.836324264,6.108,5.999,1.62,1.81,0.836324264
10,555,555,555,BePmO3,Be,Pm,0,element not in BV,element not in BV,0.45,0.97,orthorhombic,-2.836,0.189,0,10.952,0.36,4.75,5.662,8.144,90,90,90,-5.832,0.7185185184999999,0.5486173302,9.322000000000001,5.553999999999999,1.57,1.13,0.5486173302
11,589,589,589,BiBO3,Bi,B,0,not balanced,not balanced,1.38,0.27,cubic,-1.178,0.944,0.23024652898311615,8.995,2.442,3.556,3.556,3.556,90,90,90,3.534,0.2,1.191605872,7.289,8.298,2.02,2.04,1.191605872
12,2147,2147,2147,LaLiO3,La,Li,0,not balanced,not balanced,1.36,0.76,orthorhombic,-2.263,0.275,0.4,11.446,0.349,5.296,5.689,7.598,90,90,90,-0.623,0.5629629629999999,0.9081797995,5.58,5.392,1.1,0.98,0.9081797995
13,461,461,461,BaHfO3,Ba,Hf,1,2,4,1.61,0.71,cubic,-3.625,-0.247,0,14.549,3.687,4.174,4.174,4.174,90,90,90,6.962,0.5259259259000001,1.0160369283,5.212000000000001,6.65,0.89,1.3,1.0160369283
14,598,598,598,BiCsO3,Bi,Cs,0,not balanced,not balanced,1.38,1.67,orthorhombic,-1.214,0.188,0.23024652898311615,21.381,1.054,5.406,6.019,13.142,90,90,90,-3.043,1.2370370370000001,0.6392057989,7.289,3.8939999999999997,2.02,0.79,0.6392057989
15,3000,3000,3000,PaBeO3,Pa,Be,0,element not in BV,element not in BV,0.95,0.45,orthorhombic,-2.806,0.24,0.2,9.587,1.713,5.085,5.168,7.297,90,90,90,4.249,0.3333333333,0.9035253315,5.89,9.322000000000001,1.5,1.57,0.9035253315
16,3333,3333,3333,PrRbO3,Pr,Rb,0,not balanced,not balanced,1.18,1.52,orthorhombic,-2.061,0.295,0,19.587,1.117,6.505,6.576,9.158,90,90,90,-2.467,1.1259259259,0.6233380336,5.46,4.177,1.13,0.82,0.6233380336
17,1648,1648,1648,GePbO3,Ge,Pb,0,2,4,0.73,0.78,rhombohedral,-1.481,0.28,0.23024652898311615,15.853,1.688,6.153,6.153,6.153,58.4,58.4,58.4,0.674,0.5777777778000001,0.6905080305,7.899,7.416,2.01,2.33,0.6905080305
18,2720,2720,2720,NdFeO3,Nd,Fe,1,3,3,1.27,0.65,orthorhombic,-2.706,-0.036,1,11.914,1.081,5.431,5.648,7.769,90,90,90,3.83,0.4814814815,0.9263098834000001,5.53,7.87,1.14,1.83,0.9263098834000001
