,Radius A [ang],Radius B [ang],Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],a [ang],b [ang],c [ang],gamma [deg],Vacancy energy [eV/O atom],Octahedral Factor,Tolerance Factor,A Ionization Energy,B Ionization Energy,A Electronegativity,B Electronegativity,A rp,A rd,B rp,B rd,B EA,B p total,B d total,B f total,A g,A p,B g
Radius A [ang],1.0,-0.226889498145741,-0.20710471511279438,-0.15792985337302257,-0.15273263122062114,0.058036497903948304,-0.05333642650389229,-0.07134581091153885,-0.07469400818048985,0.2300619738554706,0.483043735600176,-0.22688949814278103,0.7982259737950802,-0.5301802789435581,0.1714395302550269,-0.5708908131109252,0.20789986794422874,0.5357969674800698,0.45919325988707405,-0.10873291319932071,-0.10507941842207248,0.1284908429131836,-0.0029670582121602515,0.018416883590477755,0.042385914334329054,-0.21897658061658878,0.4553611408259578,0.09268134586687421
Radius B [ang],-0.226889498145741,1.0,0.20450906755854295,0.08356018946394314,-0.08426373406900628,0.7869615690133048,0.4283004614084595,0.44721528320457793,0.42184083457562427,-0.052475023609380105,-0.6148464737032935,0.9999999999999957,-0.751945128724784,0.15979192349181345,-0.726929837498033,0.2223975468647653,-0.7251142145147983,-0.03597521582118192,-0.0695615168333826,0.8307683114057295,0.5484416783983679,-0.23805369242811625,0.4337633462836114,0.2823623299366083,0.05826864343525179,0.0026280385679116245,-0.04712588084725349,-0.4455808827443893
Formation energy [eV/atom],-0.20710471511279438,0.20450906755854295,1.0,0.1213095030233636,0.011962860125053576,0.08426283639832256,0.033779330666921265,0.06822612579636941,0.04596062321281308,-0.10631728484323578,-0.35261595676400753,0.20450906755666884,-0.23496920909581218,0.4852447888538185,0.03681234691761579,0.5434591065287687,0.11738110192925261,-0.1998489257088907,-0.1996056386652415,0.11294974603931304,0.03578463069196401,0.18992911935571777,-0.06641062686232377,0.02061089776710614,-0.12774872268512474,0.2536999218018295,-0.21159561153124734,-0.02978557077942551
Stability [eV/atom],-0.15792985337302257,0.08356018946394314,0.1213095030233636,1.0,-0.23797316525481932,0.27825152695142397,-0.5956499162235022,-0.6290856885526356,-0.6132850445186698,0.12418756115391934,-0.03991841105255309,0.08356018944790866,-0.1713916958920292,-0.007151008115679526,-0.124534743715257,-0.022810562377635537,-0.21999729648688932,-0.06412242275124973,0.001749403149282247,-0.02797868704905795,0.14043361757651202,-0.06368771212903175,0.0814746745766515,0.04934990747180271,-0.029796288931814588,0.09424815643266066,0.060348392600375916,0.07724024404553557
Magnetic moment [mu_B],-0.15273263122062114,-0.08426373406900628,0.011962860125053576,-0.23797316525481932,1.0,-0.14603528128729265,0.19543094628785584,0.18744281282320782,0.17630118950822612,-0.08837674637613907,0.02621677070017454,-0.08426373407978081,-0.056687944174350996,0.13739728559650222,0.06329383153699661,0.11482092322424642,0.03775536757520102,-0.05073723756358935,-0.21281868994822759,-0.04547779539259905,-0.15976935966113753,-0.04952119822386385,-0.021745136442276807,-0.026458484552011306,0.045808055986629806,-0.005094967343662282,-0.0330740247059145,-0.0628879631132154
Volume per atom [A^3/atom],0.058036497903948304,0.7869615690133048,0.08426283639832256,0.27825152695142397,-0.14603528128729265,1.0,0.2696181610194677,0.23804643069644724,0.12768749591667686,-0.04870627146571491,-0.324554638140036,0.7869615690071661,-0.4528993072022961,-0.03907580412570985,-0.609554613362583,0.05348950704735982,-0.5767600150970511,0.16827922185852454,0.11473680710386144,0.6812258507101215,0.5005869043377552,-0.1417639035160488,0.6011559878224086,0.4668805303314369,0.18796166555467086,-0.06778999022316994,0.20262739218247725,-0.3435429224433703
a [ang],-0.05333642650389229,0.4283004614084595,0.033779330666921265,-0.5956499162235022,0.19543094628785584,0.2696181610194677,1.0,0.9664075502961987,0.6869061490486018,-0.3630989656177239,-0.374301615364007,0.4283004614107114,-0.30107779598513995,0.11797309989762224,-0.2568500013467703,0.16421916391386399,-0.2022432012427484,0.08169384541916823,-0.03437524873017768,0.3852909678088995,0.237663166258977,-0.0695782713293966,0.29444284887304556,0.25478197261568764,0.13716709241718894,-0.11903254062933788,-0.07512090348441781,-0.24975511648810964
b [ang],-0.07134581091153885,0.44721528320457793,0.06822612579636941,-0.6290856885526356,0.18744281282320782,0.23804643069644724,0.9664075502961987,1.0,0.767940705523711,-0.259016545992551,-0.3864507634918188,0.4472152832085208,-0.3179088106925088,0.1244134462561272,-0.24509588993627013,0.17020850873024998,-0.1792347593665935,0.031141829115197157,-0.05625720445128905,0.4054328386892444,0.21496929843869725,-0.027011001033465674,0.24797408210014618,0.21949116012983186,0.1001176017550749,-0.08334158389765374,-0.07075901928785322,-0.2643035390343246
c [ang],-0.07469400818048985,0.42184083457562427,0.04596062321281308,-0.6132850445186698,0.17630118950822612,0.12768749591667686,0.6869061490486018,0.767940705523711,1.0,0.18793372558629992,-0.3506994999539306,0.4218408345784369,-0.2867611637728764,0.12128339523476148,-0.23574396777492565,0.1600801984405902,-0.16334816640407873,-0.05312978893342573,-0.09441441599842418,0.39186485217454753,0.11955555550984316,-0.03876820406347745,0.07616941376882454,0.055821491394896505,-0.009595329095028488,-0.01725536934418861,-0.06249383174714952,-0.2636766619901465
gamma [deg],0.2300619738554706,-0.052475023609380105,-0.10631728484323578,0.12418756115391934,-0.08837674637613907,-0.04870627146571491,-0.3630989656177239,-0.259016545992551,0.18793372558629992,1.0,0.16250778412919595,-0.052475023603670255,0.1833084893550868,-0.2384213079819973,0.06548831865175873,-0.2953044949692912,0.07187851187679284,0.02387972991880098,0.09218506225378233,-0.054388350564040365,-0.07922537366322023,0.03699359444563459,-0.11794424865030939,-0.09380005836796658,-0.09648655820329453,-0.007732171120561109,0.16307652578071583,0.0478178825464451
