,0,Formation energy [eV/atom],Magnetic moment [mu_B],Radius A [ang],Radius B [ang],Stability [eV/atom],Vacancy energy [eV/O atom],Volume per atom [A^3/atom],a [ang],alpha [deg],b [ang],beta [deg],c [ang],gamma [deg]
0,,-2.959,1.200,1.03,0.62,0.160,4.983,11.898,5.471,61.2,5.471,61.2,5.471,61.2
1,,-2.750,0.600,1.03,0.62,0.242,3.046,11.842,5.475,90.0,5.502,90.0,7.862,90.0
2,,-2.226,0.400,1.17,1.02,0.291,-2.345,15.403,5.681,90.0,6.135,90.0,8.838,90.0
3,,-2.870,0.200,1.17,1.38,0.270,-3.130,17.520,5.403,90.0,5.740,90.0,11.299,90.0
4,,-3.047,0.200,0.84,0.76,0.099,-2.292,10.735,5.167,90.0,5.647,90.0,7.359,90.0
5,,-3.363,0.400,1.17,0.72,0.107,0.900,11.777,5.348,90.0,5.732,90.0,7.683,90.0
6,,-2.991,1.400,1.03,0.65,0.115,3.810,12.781,5.463,90.0,5.940,90.0,7.879,90.0
7,,-2.870,0.200,1.17,1.02,0.238,-4.483,13.162,5.483,90.0,5.740,90.0,8.365,90.0
8,,-2.834,0.200,1.17,1.52,0.280,-10.746,18.845,5.387,90.0,5.747,90.0,12.174,90.0
9,,-3.609,0.600,1.03,0.75,0.013,4.046,13.125,5.600,90.0,5.831,90.0,8.039,90.0
10,,-3.326,0.400,1.17,1.18,0.161,-7.732,16.725,5.809,90.0,5.967,90.0,9.651,90.0
11,,-3.176,1.000,1.03,0.64,0.020,4.461,12.447,5.392,90.0,5.949,90.0,7.760,90.0
12,,-1.633,0.000,0.72,0.95,0.074,-6.146,13.017,5.179,90.0,5.572,90.0,9.022,90.0
13,,-2.863,0.400,0.72,0.54,0.085,-0.280,8.938,4.981,90.0,5.175,90.0,6.935,90.0
14,,-2.704,0.200,0.72,1.35,0.162,-13.060,16.597,5.416,90.0,5.953,90.0,10.295,90.0
15,,-1.843,0.200,0.72,0.95,0.190,-7.137,12.529,5.335,90.0,5.416,90.0,8.671,90.0
16,,-2.861,0.400,0.79,0.87,0.298,-7.387,14.417,5.738,90.0,5.883,90.0,8.542,90.0
17,,-2.807,0.200,0.72,1.06,0.293,-8.901,15.081,6.269,54.3,6.269,54.3,6.269,54.3
18,,-2.333,0.000,0.72,1.38,0.037,-9.684,16.119,5.479,90.0,5.683,90.0,10.354,90.0
19,,-2.973,0.400,0.72,1.03,0.275,-6.936,14.351,5.725,90.0,5.850,90.0,8.571,90.0
20,,-2.164,0.000,0.72,0.76,0.208,-5.697,8.948,4.691,90.0,5.019,90.0,7.601,90.0
21,,-2.233,0.000,0.72,1.02,0.242,-10.109,12.446,5.305,90.0,5.535,90.0,8.478,90.0
22,,-2.912,0.400,0.72,0.98,0.284,-5.876,13.858,5.687,90.0,5.808,90.0,8.392,90.0
23,,-2.941,0.400,0.72,0.97,0.275,-6.807,13.611,5.670,90.0,5.767,90.0,8.324,90.0
24,,-2.888,0.400,0.79,0.85,0.292,-7.010,14.118,5.723,90.0,5.819,90.0,8.479,90.0
25,,-2.339,0.000,0.72,1.52,0.029,-19.751,17.828,5.618,90.0,5.953,90.0,10.660,90.0
26,,-2.955,0.400,0.72,0.96,0.268,-6.477,13.425,5.655,90.0,5.740,90.0,8.271,90.0
27,,-2.723,0.200,0.72,1.18,0.158,-9.981,14.899,5.532,90.0,5.639,90.0,9.553,90.0
28,,-1.566,0.400,0.72,1.2,0.404,-5.310,12.645,5.575,90.0,5.589,90.0,8.116,90.0
29,,-2.858,0.200,0.72,0.95,0.220,-7.759,12.678,5.393,90.0,5.432,90.0,8.656,90.0
30,,-1.414,0.000,0.66,0.75,0.543,-12.443,13.656,5.252,90.0,6.199,90.0,8.389,90.0
